,domain_size,number_of_trials,time
0,50000,1000,0.030793800000000093
1,100000,1000,0.06148819999999988
2,150000,1000,0.07885439999999955
3,200000,1000,0.09535889999999991
4,250000,1000,0.12106450000000013
5,300000,1000,0.14979340000000008
6,350000,1000,0.17569169999999978
7,400000,1000,0.2087760999999997
8,450000,1000,0.22819250000000046
9,500000,1000,0.2522908999999993
10,550000,1000,0.26955369999999945
11,600000,1000,0.32924120000000023
12,650000,1000,0.30927789999999966
13,700000,1000,0.3202052000000002
14,750000,1000,0.40403690000000037
15,800000,1000,0.3615824999999999
16,850000,1000,0.4443242999999999
17,900000,1000,0.4622409999999997
18,950000,1000,0.4210292000000013
19,1000000,1000,0.43074499999999993
20,50000,2000,0.05683959999999999
21,100000,2000,0.1094887
22,150000,2000,0.1688251999999988
23,200000,2000,0.19800299999999993
24,250000,2000,0.23309260000000087
25,300000,2000,0.3386621999999999
26,350000,2000,0.3661221000000001
27,400000,2000,0.39338230000000074
28,450000,2000,0.4776921000000005
29,500000,2000,0.43450260000000007
30,550000,2000,0.5151288000000012
31,600000,2000,0.5485433999999998
32,650000,2000,0.5919979000000009
33,700000,2000,0.6479724999999998
34,750000,2000,0.6760234999999994
35,800000,2000,0.7026979999999998
36,850000,2000,0.7659734
37,900000,2000,0.801257500000002
38,950000,2000,0.8348196999999971
39,1000000,2000,0.8545014000000002
40,50000,3000,0.08709350000000171
41,100000,3000,0.1554481999999986
42,150000,3000,0.23769610000000085
43,200000,3000,0.29006230000000244
44,250000,3000,0.34414250000000024
45,300000,3000,0.4334977999999978
46,350000,3000,0.4998269999999998
47,400000,3000,0.558482399999999
48,450000,3000,0.6939087000000015
49,500000,3000,0.6874627000000011
50,550000,3000,0.8039591999999978
51,600000,3000,0.9567824999999992
52,650000,3000,0.9087232999999983
53,700000,3000,0.9717005000000007
54,750000,3000,1.017056499999999
55,800000,3000,1.1045693000000014
56,850000,3000,1.155286499999999
57,900000,3000,1.2144799000000006
58,950000,3000,1.282546
59,1000000,3000,1.4327304999999981
60,50000,4000,0.12102529999999945
61,100000,4000,0.2218566000000024
62,150000,4000,0.429152000000002
63,200000,4000,0.41565879999999567
64,250000,4000,0.4705785999999961
65,300000,4000,0.6104585
66,350000,4000,0.7405604999999937
67,400000,4000,0.8493127999999999
68,450000,4000,0.9423463999999981
69,500000,4000,0.9953541000000001
70,550000,4000,1.0332016999999993
71,600000,4000,1.2783282999999983
