,domain_size,number_of_trials,time
0,1000,500,0.08626809999998386
1,2000,500,0.16474670000002334
2,3000,500,0.2825657999999862
3,4000,500,0.35300019999999677
4,5000,500,0.5993730999999798
5,6000,500,0.6410182999999847
6,7000,500,0.686692599999958
7,8000,500,0.7492293000000245
8,9000,500,1.3748218000000065
9,10000,500,1.4036826000000246
10,11000,500,1.448064899999963
11,12000,500,1.530306200000041
12,13000,500,1.5604612000000202
13,14000,500,1.6526468999999793
14,15000,500,1.7346104000000082
15,16000,500,1.7886050000000182
16,17000,500,2.7262245000000007
17,18000,500,2.7545008999999823
18,19000,500,3.077058700000009
19,20000,500,3.0130880999999476
20,1000,1000,0.16446750000000065
21,2000,1000,0.3334806999999955
22,3000,1000,0.5947864999999979
23,4000,1000,0.7224247000000332
24,5000,1000,1.1254005999999777
25,6000,1000,1.1921838000000093
26,7000,1000,1.4090770999999904
27,8000,1000,1.8402548000000252
28,9000,1000,3.111676999999986
29,10000,1000,2.9135301999999683
30,11000,1000,2.8952606999999944
31,12000,1000,3.645702999999969
32,13000,1000,4.619931699999995
33,14000,1000,3.993577499999958
34,15000,1000,3.8170973000000004
35,16000,1000,3.644150599999989
36,17000,1000,5.564385300000026
37,18000,1000,5.53387680000003
38,19000,1000,5.531480699999975
39,20000,1000,5.64746150000002
40,1000,1500,0.23372069999999212
41,2000,1500,0.4936182999999801
42,3000,1500,0.87394740000002
43,4000,1500,1.1630603999999494
44,5000,1500,1.912981000000002
45,6000,1500,1.9197852000000353
46,7000,1500,2.072376400000053
47,8000,1500,2.2059105999999815
48,9000,1500,4.237166500000001
49,10000,1500,4.419893699999989
50,11000,1500,4.450033700000006
51,12000,1500,5.410832200000016
52,13000,1500,5.404433100000006
53,14000,1500,5.255609199999981
54,15000,1500,5.145739800000001
55,16000,1500,5.410456399999987
56,17000,1500,8.356955600000049
57,18000,1500,8.150307199999986
58,19000,1500,8.777672999999993
59,20000,1500,8.637425099999973
60,1000,2000,0.36006579999997257
61,2000,2000,0.6709991999999829
62,3000,2000,1.352052800000024
63,4000,2000,1.9122242999999912
64,5000,2000,2.2972703000000365
65,6000,2000,2.3769063999999958
66,7000,2000,2.5675921999999787
67,8000,2000,2.875762800000018
68,9000,2000,6.391046099999983
69,10000,2000,8.725973199999999
70,11000,2000,7.268357500000036
71,12000,2000,7.575524599999994
72,13000,2000,7.539275900000007
73,14000,2000,6.960072200000013
74,15000,2000,8.377443399999947
75,16000,2000,7.320916500000067
76,17000,2000,11.205547599999932
77,18000,2000,11.293127300000037
78,19000,2000,11.38399800000002
79,20000,2000,11.676839399999949
80,1000,2500,0.3779982999999447
81,2000,2500,0.8025766000000658
82,3000,2500,1.459727799999996
83,4000,2500,1.8734448999999813
84,5000,2500,3.8301444000001084
85,6000,2500,3.1047843000000057
86,7000,2500,3.3424973999999565
87,8000,2500,3.6670563999999786
88,9000,2500,7.059377799999993
89,10000,2500,7.203545899999995
90,11000,2500,7.5132677000000285
91,12000,2500,7.887314700000047
92,13000,2500,7.907488199999989
93,14000,2500,8.83761560000005
94,15000,2500,9.481158499999992
95,16000,2500,9.247163
96,17000,2500,13.659580799999958
97,18000,2500,14.455985299999952
98,19000,2500,14.31378929999994
99,20000,2500,15.843604999999911
100,1000,3000,0.4729611999999861
101,2000,3000,0.962571099999991
102,3000,3000,1.747316899999987
103,4000,3000,2.1489581000000726
104,5000,3000,3.43793519999997
105,6000,3000,3.6717709999999215
106,7000,3000,4.0334589999999935
107,8000,3000,4.532874799999945
